trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.9952797980656002}",20,0,-197.62539780973242,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
110,False,"{'a': 0.5, 'e': 0.9951920526735505}",25,0,-143.08360270464908,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9951035011759926}",25,0,-88.50182416853559,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.995014143644653}",20,0,-126.15317071881225,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9949239801519115}",20,0,-149.10834782062685,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.9948330107708006}",25,0,-145.80101477750458,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.9947412355750052}",25,0,-162.9665468364754,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.9946486546388634}",25,0,-132.34417601065755,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9945552680373658}",20,0,-60.38928182985912,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.9944610758461554}",25,0,-113.87265898529228,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.994366078141528}",20,0,-33.63029975505808,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9942702750004316}",25,0,-25.523538067900375,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-61.828913040996156,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.9940762527198866}",20,0,-79.44162936974952,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.993978033737596}",35,0,-133.0999477177361,"{0: 23, 1: 7, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.9938790096331525}",30,0,-216.5553818573364,"{0: 17, 1: 4, 2: 2, 3: 4, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.9937791804867654}",20,0,-68.60668247983806,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9936785463792964}",20,0,-117.9765414761117,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9935771073922594}",30,0,-185.16493302331813,"{0: 15, 1: 2, 2: 11, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9934748636078196}",25,6,-108.96702057628431,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
129,False,"{'a': 0.5, 'e': 0.9933718151087945}",30,0,-162.82371016024155,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9932679619786535}",30,0,-161.59049067493166,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9931633043015177}",25,0,-58.805341562808714,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9930578421621596}",20,0,-133.57717210451247,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.9929515756460038}",20,0,-93.48662991031604,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9928445048391259}",20,0,-87.0481479615088,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9927366298282535}",20,0,-129.28875392368707,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.992627950700765}",20,13,-57.85060149353289,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.9925184675446909}",30,0,-125.69377596084658,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9924081804487123}",25,0,-119.35361331182399,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9922970895021618}",30,0,-195.3809665532427,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.992185194795023}",25,0,-76.4689420512546,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9920724964179307}",30,0,-175.48335590053668,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
142,False,"{'a': 0.5, 'e': 0.9919589944621705}",20,0,-46.80243621540741,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.991844689019679}",25,0,-168.94676472696784,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.9917295801830438}",25,0,-93.75131289815444,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.9916136680455027}",20,0,-51.67695144973215,"{0: 9, 1: 8, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.9914969527009447}",20,0,-42.00538827666293,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.9913794342439094}",20,0,-159.7481508472243,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.9912611127695864}",25,0,-36.563656501256574,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.9911419883738163}",25,10,-100.45700112261123,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.9910220611530898}",35,0,-114.54374770455183,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9909013312045479}",20,0,-188.61802247154762,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.990779798625982}",30,0,-313.46720618298485,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 5}",0
153,False,"{'a': 0.5, 'e': 0.9906574635158334}",30,0,-118.67614874936866,"{0: 18, 1: 4, 2: 4, 3: 4, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.9905343259731935}",25,0,-157.01650634758698,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.9904103860978036}",20,0,-80.23209393993982,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9902856439900551}",35,0,-268.2823155964718,"{0: 18, 1: 3, 2: 8, 3: 2, 4: 4}",0
157,False,"{'a': 0.5, 'e': 0.9901600997509893}",20,0,-115.0663445014203,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9900337534822967}",20,0,-64.43601970940284,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.989906605286318}",25,0,-167.64975909669977,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
